"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2012";1.70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2013";1.88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2014";1.93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2015";1.71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2016";2.63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2017";1.89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2018";2.15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2019";3.15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2006";2.24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2007";2.30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2008";2.47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2009";2.79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2010";3.10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2011";3.22;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2012";3.59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2013";3.42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2014";3.69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2015";3.79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2016";4.06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2017";4.31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2018";4.31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"herbata czarna. liściasta - za 100g";"cena";"2019";8.22;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2006";12.96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2007";13.53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2008";13.57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2009";14.03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2010";14.88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2011";15.97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2012";16.45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2013";16.71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2014";18.13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2015";18.06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2016";18.59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2017";18.94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2018";20.54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2019";21.14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2013";5.60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2014";5.41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2015";4.63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2016";4.04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2017";4.80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2018";4.69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2019";5.14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2006";12.60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2007";13.00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2008";13.29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2009";14.00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2010";14.59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2011";14.86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2012";15.79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2013";16.14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2014";16.93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2015";17.57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2016";17.97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2017";19.31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2018";19.69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"bilet do kina";"cena";"2019";20.68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2006";2.09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2007";1.98;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2008";1.86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2009";1.80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2010";2.01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2011";2.02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2012";2.00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2013";2.04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2014";2.04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2015";2.00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2016";2.03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2017";2.04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2018";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mydło toaletowe - za 100g";"cena";"2019";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2006";10.77;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2007";11.93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2008";12.28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2009";12.46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2010";14.73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2011";13.96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2012";15.55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2013";13.30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2014";14.58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2015";15.63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2016";15.50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2017";15.00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2018";0.00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2019";15.00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2006";1.47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2007";1.45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2008";1.79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2009";1.78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2010";1.75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2011";1.80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2012";2.41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2013";2.40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2014";2.64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2015";2.62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2016";2.52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2017";2.46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2018";2.65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2019";2.65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2013";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2014";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2015";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2016";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2017";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2018";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2019";0.64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2006";3.02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2007";3.03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2008";4.08;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2009";3.49;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2010";4.06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2011";4.23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2012";4.65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2013";4.43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2014";4.69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2015";4.35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2016";3.99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2017";5.20;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2018";5.53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2019";6.37;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2006";1.75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2007";1.83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2008";1.75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2009";2.33;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2010";1.88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2011";2.55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2012";1.94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2013";1.92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2014";2.06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2015";1.83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2016";2.64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2017";1.91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2018";2.30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"marchew - za 1 kg";"cena";"2019";3.21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"herbata czarna. liściasta - za 100g";"cena";"2006";2.25;"zł";"";
